Parent Name,Area Name,Area Type,Sex,Category,Time period,Value,Count,Compared to England value or percentiles,Compared to Region value or percentiles
,England,England,Male,,2019 - 21,15.8950117330154,11551.0,Not compared,Not compared
,England,England,Male,Most deprived decile (IMD2019),2019 - 21,17.0294862545843,1137.0,Worse,Not compared
,England,England,Male,Second most deprived decile (IMD2019),2019 - 21,16.9427265949061,761.0,Similar,Not compared
,England,England,Male,Third more deprived decile (IMD2019),2019 - 21,15.6744079671058,997.0,Similar,Not compared
,England,England,Male,Fourth more deprived decile (IMD2019),2019 - 21,15.6374757697242,911.0,Similar,Not compared
,England,England,Male,Fifth more deprived decile (IMD2019),2019 - 21,16.0939486429196,1097.0,Similar,Not compared
,England,England,Male,Fifth less deprived decile (IMD2019),2019 - 21,16.3172972992797,1216.0,Similar,Not compared
,England,England,Male,Fourth less deprived decile (IMD2019),2019 - 21,18.0013440820889,1711.0,Worse,Not compared
,England,England,Male,Third less deprived decile (IMD2019),2019 - 21,15.3079120682714,1391.0,Similar,Not compared
,England,England,Male,Second least deprived decile (IMD2019),2019 - 21,14.2041600850647,1510.0,Better,Not compared
,England,England,Male,Least deprived decile (IMD2019),2019 - 21,14.417459936618,820.0,Better,Not compared
,England,England,Male,Most deprived decile (IMD2019),2019 - 21,16.3633424531282,1604.0,Similar,Not compared
,England,England,Male,Second most deprived decile (IMD2019),2019 - 21,17.5844547720991,1895.0,Worse,Not compared
,England,England,Male,Third more deprived decile (IMD2019),2019 - 21,15.0937576898282,1369.0,Similar,Not compared
,England,England,Male,Fourth more deprived decile (IMD2019),2019 - 21,17.7890580057821,1193.0,Worse,Not compared
,England,England,Male,Fifth more deprived decile (IMD2019),2019 - 21,16.6315646155968,1093.0,Similar,Not compared
,England,England,Male,Fifth less deprived decile (IMD2019),2019 - 21,16.228244260128,1190.0,Similar,Not compared
,England,England,Male,Fourth less deprived decile (IMD2019),2019 - 21,14.8118245884025,921.0,Better,Not compared
,England,England,Male,Third less deprived decile (IMD2019),2019 - 21,14.0000445925056,794.0,Better,Not compared
,England,England,Male,Second least deprived decile (IMD2019),2019 - 21,14.4422005004343,731.0,Better,Not compared
,England,England,Male,Least deprived decile (IMD2019),2019 - 21,14.3951882132798,761.0,Better,Not compared
,England,England,Female,,2019 - 21,5.18662793543829,3896.0,Not compared,Not compared
,England,England,Female,Most deprived decile (IMD2019),2019 - 21,5.08938609306194,351.0,Similar,Not compared
,England,England,Female,Second most deprived decile (IMD2019),2019 - 21,4.5320847235672,211.0,Better,Not compared
,England,England,Female,Third more deprived decile (IMD2019),2019 - 21,5.90192206064719,375.0,Worse,Not compared
,England,England,Female,Fourth more deprived decile (IMD2019),2019 - 21,4.89968432100461,297.0,Similar,Not compared
,England,England,Female,Fifth more deprived decile (IMD2019),2019 - 21,5.03542948169027,354.0,Similar,Not compared
,England,England,Female,Fifth less deprived decile (IMD2019),2019 - 21,5.71289314535799,437.0,Similar,Not compared
,England,England,Female,Fourth less deprived decile (IMD2019),2019 - 21,5.35588571078309,527.0,Similar,Not compared
,England,England,Female,Third less deprived decile (IMD2019),2019 - 21,5.19298697601004,494.0,Similar,Not compared
,England,England,Female,Second least deprived decile (IMD2019),2019 - 21,5.08715166255485,571.0,Similar,Not compared
,England,England,Female,Least deprived decile (IMD2019),2019 - 21,4.67483214024862,279.0,Similar,Not compared
,England,England,Female,Most deprived decile (IMD2019),2019 - 21,4.92053173152799,503.0,Similar,Not compared
,England,England,Female,Second most deprived decile (IMD2019),2019 - 21,5.99517766542178,650.0,Worse,Not compared
,England,England,Female,Third more deprived decile (IMD2019),2019 - 21,4.72832792451918,442.0,Better,Not compared
,England,England,Female,Fourth more deprived decile (IMD2019),2019 - 21,5.38722158691463,377.0,Similar,Not compared
,England,England,Female,Fifth more deprived decile (IMD2019),2019 - 21,5.51025828629379,368.0,Similar,Not compared
,England,England,Female,Fifth less deprived decile (IMD2019),2019 - 21,5.250072296891,401.0,Similar,Not compared
,England,England,Female,Fourth less deprived decile (IMD2019),2019 - 21,4.84091547645897,317.0,Similar,Not compared
,England,England,Female,Third less deprived decile (IMD2019),2019 - 21,4.90214372669528,297.0,Similar,Not compared
,England,England,Female,Second least deprived decile (IMD2019),2019 - 21,5.06057708294282,267.0,Similar,Not compared
,England,England,Female,Least deprived decile (IMD2019),2019 - 21,4.98341315656794,274.0,Similar,Not compared
,England,England,Persons,,2019 - 21,10.4348248336516,15447.0,Not compared,Not compared
,England,England,Persons,Most deprived decile (IMD2019),2019 - 21,10.9928560018267,1488.0,Similar,Not compared
