Parent Name,Area Name,Time period,Value,Count,Compared to England value or percentiles,Compared to Region value or percentiles
North East region,Hartlepool,2019 - 21,14.6670187639968,36.0,Similar,Similar
North East region,Middlesbrough,2019 - 21,14.8798519564433,54.0,Worse,Similar
North East region,Redcar and Cleveland,2019 - 21,19.7506008384136,69.0,Worse,Worse
North East region,Stockton-on-Tees,2019 - 21,10.2064448730501,52.0,Similar,Similar
North East region,Darlington,2019 - 21,16.5980229404794,47.0,Worse,Similar
North West region,Halton,2019 - 21,10.0659683628087,34.0,Similar,Similar
North West region,Warrington,2019 - 21,9.03268000034964,51.0,Similar,Similar
North West region,Blackburn with Darwen,2019 - 21,9.81554009592382,38.0,Similar,Similar
North West region,Blackpool,2019 - 21,18.7040254383445,67.0,Worse,Worse
Yorkshire and the Humber region,Kingston upon Hull,2019 - 21,13.1989410658691,90.0,Worse,Similar
Yorkshire and the Humber region,East Riding of Yorkshire,2019 - 21,12.9605637809205,115.0,Worse,Similar
Yorkshire and the Humber region,North East Lincolnshire,2019 - 21,6.82453469238235,28.0,Better,Better
Yorkshire and the Humber region,North Lincolnshire,2019 - 21,9.30886566593352,43.0,Similar,Similar
Yorkshire and the Humber region,York,2019 - 21,13.2600249958443,72.0,Similar,Similar
East Midlands region,Derby,2019 - 21,8.84333116265376,58.0,Similar,Similar
East Midlands region,Leicester,2019 - 21,10.6242339030808,90.0,Similar,Similar
East Midlands region,Nottingham,2019 - 21,11.2168296507233,94.0,Similar,Similar
West Midlands region,Herefordshire,2019 - 21,12.5804209344625,64.0,Similar,Similar
West Midlands region,Telford and Wrekin,2019 - 21,11.4286133603943,53.0,Similar,Similar
West Midlands region,Stoke-on-Trent,2019 - 21,16.389456513413,106.0,Worse,Worse
South West region,Bath and North East Somerset,2019 - 21,9.67315616428286,48.0,Similar,Similar
South West region,Bristol,2019 - 21,11.7952650939121,140.0,Similar,Similar
South West region,North Somerset,2019 - 21,8.74934194400878,51.0,Similar,Better
South West region,South Gloucestershire,2019 - 21,7.92778927706593,60.0,Better,Better
South West region,Plymouth,2019 - 21,10.7379125311878,76.0,Similar,Similar
South West region,Torbay,2019 - 21,17.2481849232142,58.0,Worse,Worse
South West region,Swindon,2019 - 21,11.544076212362,66.0,Similar,Similar
East of England region,Peterborough,2019 - 21,11.2048250917327,58.0,Similar,Similar
East of England region,Luton,2019 - 21,7.87379351625277,43.0,Similar,Similar
East of England region,Southend-on-Sea,2019 - 21,12.071182746578,58.0,Similar,Similar
East of England region,Thurrock,2019 - 21,5.38376720624593,26.0,Better,Better
South East region,Medway,2019 - 21,10.6271736212445,76.0,Similar,Similar
South East region,Bracknell Forest,2019 - 21,8.38752936486003,28.0,Similar,Similar
South East region,West Berkshire,2019 - 21,11.8899700492946,48.0,Similar,Similar
South East region,Reading,2019 - 21,11.9980583346966,49.0,Similar,Similar
South East region,Slough,2019 - 21,8.72842755526827,31.0,Similar,Similar
South East region,Windsor and Maidenhead,2019 - 21,8.18684876419807,31.0,Similar,Similar
South East region,Wokingham,2019 - 21,6.00214724361831,26.0,Better,Better
South East region,Milton Keynes,2019 - 21,12.8819173705996,91.0,Similar,Similar
South East region,Brighton and Hove,2019 - 21,14.0916103380936,113.0,Worse,Worse
South East region,Portsmouth,2019 - 21,9.9270317483726,56.0,Similar,Similar
South East region,Southampton,2019 - 21,9.53441316398193,63.0,Similar,Similar
South East region,Isle of Wight,2019 - 21,13.7825086971505,48.0,Similar,Similar
North East region,County Durham,2019 - 21,15.7877443250994,217.0,Worse,Worse
North West region,Cheshire East,2019 - 21,10.0771438645863,100.0,Similar,Similar
North West region,Cheshire West and Chester,2019 - 21,10.8205773758248,100.0,Similar,Similar
West Midlands region,Shropshire,2019 - 21,11.5537394375842,99.0,Similar,Similar
South West region,Cornwall,2019 - 21,13.4906140312289,204.0,Worse,Similar
South West region,Wiltshire,2019 - 21,11.5329576819854,150.0,Similar,Similar
East of England region,Bedford,2019 - 21,11.744459314057,52.0,Similar,Similar
East of England region,Central Bedfordshire,2019 - 21,7.571147949798,56.0,Better,Similar
North East region,Northumberland,2019 - 21,11.4532057621346,95.0,Similar,Similar
South West region,"Bournemouth, Christchurch and Poole",2019 - 21,12.6837233304885,133.0,Worse,Similar
South West region,Dorset,2019 - 21,12.4141155889101,119.0,Similar,Similar
South East region,Buckinghamshire UA,2019 - 21,10.9838602522552,157.0,Similar,Similar
East Midlands region,North Northamptonshire,2019 - 21,10.7973087026598,96.0,Similar,Similar
East Midlands region,West Northamptonshire,2019 - 21,9.45695065136352,100.0,Similar,Similar
North West region,Bolton,2019 - 21,9.79945932006151,72.0,Similar,Similar
North West region,Bury,2019 - 21,11.9682320180742,59.0,Similar,Similar
North West region,Manchester,2019 - 21,10.8254961063205,154.0,Similar,Similar
North West region,Oldham,2019 - 21,9.02299288757846,55.0,Similar,Similar
North West region,Rochdale,2019 - 21,10.5259566754717,60.0,Similar,Similar
North West region,Salford,2019 - 21,12.3194811649314,84.0,Similar,Similar
North West region,Stockport,2019 - 21,8.14346085033552,63.0,Better,Better
North West region,Tameside,2019 - 21,7.1593574786789,42.0,Better,Better
North West region,Trafford,2019 - 21,9.2535336333999,56.0,Similar,Similar
