Category,Value,Count
Fifth less deprived decile (IMD2019),10.7522541157552,1622.0
Fifth more deprived decile (IMD2019),10.7051383737236,1456.0
Fourth less deprived decile (IMD2019),10.627636116878708,1738.0
Fourth more deprived decile (IMD2019),10.840607189169699,1389.0
Least deprived decile (IMD2019),9.502568223901982,1067.0
Most deprived decile (IMD2019),10.7750267589287,1797.5
Second least deprived decile (IMD2019),9.57663559744081,1539.5
Second most deprived decile (IMD2019),11.1796443557756,1758.5
Third less deprived decile (IMD2019),9.721325323415261,1488.0
Third more deprived decile (IMD2019),10.282809539113796,1591.5
