Parent Name,Area Name,Sex,Time period,Value,Count,Compared to England value or percentiles,Compared to Region value or percentiles
North East region,Hartlepool,Male,2019 - 21,25.843137455426,31.0,Worse,Similar
North East region,Middlesbrough,Male,2019 - 21,23.2867098664301,42.0,Worse,Similar
North East region,Redcar and Cleveland,Male,2019 - 21,32.3990009516344,55.0,Worse,Worse
North East region,Stockton-on-Tees,Male,2019 - 21,15.8837990857572,40.0,Similar,Similar
North East region,Darlington,Male,2019 - 21,22.4681313105435,31.0,Similar,Similar
North West region,Halton,Male,2019 - 21,14.9930228145058,24.0,Similar,Similar
North West region,Warrington,Male,2019 - 21,13.9257649839816,39.0,Similar,Similar
North West region,Blackburn with Darwen,Male,2019 - 21,14.872984928386,29.0,Similar,Similar
North West region,Blackpool,Male,2019 - 21,28.1651912308925,49.0,Worse,Worse
Yorkshire and the Humber region,Kingston upon Hull,Male,2019 - 21,20.8879661378689,71.0,Worse,Similar
Yorkshire and the Humber region,East Riding of Yorkshire,Male,2019 - 21,20.5673765417382,89.0,Worse,Similar
Yorkshire and the Humber region,North East Lincolnshire,Male,2019 - 21,10.5191974552812,21.0,Similar,Better
Yorkshire and the Humber region,North Lincolnshire,Male,2019 - 21,14.1880133439364,32.0,Similar,Similar
Yorkshire and the Humber region,York,Male,2019 - 21,20.2098290846822,54.0,Similar,Similar
East Midlands region,Derby,Male,2019 - 21,15.1927145916803,49.0,Similar,Similar
East Midlands region,Leicester,Male,2019 - 21,17.4999534493067,72.0,Similar,Similar
East Midlands region,Rutland,Male,2019 - 21,,2.0,Not compared,Not compared
East Midlands region,Nottingham,Male,2019 - 21,17.1152075098336,72.0,Similar,Similar
West Midlands region,Herefordshire,Male,2019 - 21,19.1106874350015,48.0,Similar,Similar
West Midlands region,Telford and Wrekin,Male,2019 - 21,16.2387498200581,37.0,Similar,Similar
West Midlands region,Stoke-on-Trent,Male,2019 - 21,26.0628536054215,85.0,Worse,Worse
South West region,Bath and North East Somerset,Male,2019 - 21,15.0877116971522,37.0,Similar,Similar
South West region,Bristol,Male,2019 - 21,17.4607287169681,104.0,Similar,Similar
South West region,North Somerset,Male,2019 - 21,12.400509610543,35.0,Similar,Better
South West region,South Gloucestershire,Male,2019 - 21,13.1720125037482,49.0,Similar,Better
South West region,Plymouth,Male,2019 - 21,16.119457440532,55.0,Similar,Similar
South West region,Torbay,Male,2019 - 21,25.5287786152691,42.0,Worse,Similar
South West region,Swindon,Male,2019 - 21,17.4002785973457,49.0,Similar,Similar
East of England region,Peterborough,Male,2019 - 21,15.4288792278605,41.0,Similar,Similar
East of England region,Luton,Male,2019 - 21,13.6585261260165,37.0,Similar,Similar
East of England region,Southend-on-Sea,Male,2019 - 21,18.5416366652064,43.0,Similar,Similar
East of England region,Thurrock,Male,2019 - 21,6.62109510606799,16.0,Better,Better
South East region,Medway,Male,2019 - 21,17.0296928775156,61.0,Similar,Similar
South East region,Bracknell Forest,Male,2019 - 21,14.3456987601109,23.0,Similar,Similar
South East region,West Berkshire,Male,2019 - 21,18.6341035508801,37.0,Similar,Similar
South East region,Reading,Male,2019 - 21,17.2716063267097,35.0,Similar,Similar
South East region,Slough,Male,2019 - 21,12.0008690301255,21.0,Similar,Similar
South East region,Windsor and Maidenhead,Male,2019 - 21,12.6035022113842,24.0,Similar,Similar
South East region,Wokingham,Male,2019 - 21,10.3644839706689,22.0,Better,Better
South East region,Milton Keynes,Male,2019 - 21,20.3990824188288,73.0,Worse,Worse
South East region,Brighton and Hove,Male,2019 - 21,18.7995629913642,74.0,Similar,Similar
South East region,Portsmouth,Male,2019 - 21,14.2148341923699,39.0,Similar,Similar
South East region,Southampton,Male,2019 - 21,13.6520477658739,44.0,Similar,Similar
South East region,Isle of Wight,Male,2019 - 21,23.3271921769901,39.0,Worse,Worse
North East region,County Durham,Male,2019 - 21,24.1815925635296,163.0,Worse,Similar
North West region,Cheshire East,Male,2019 - 21,16.7099009848591,80.0,Similar,Similar
North West region,Cheshire West and Chester,Male,2019 - 21,17.8773128737062,80.0,Similar,Similar
West Midlands region,Shropshire,Male,2019 - 21,16.7181632330678,69.0,Similar,Similar
South West region,Cornwall,Male,2019 - 21,21.5328390871002,156.0,Worse,Similar
South West region,Isles of Scilly,Male,2019 - 21,,,Not compared,Not compared
South West region,Wiltshire,Male,2019 - 21,18.3060765705086,117.0,Similar,Similar
East of England region,Bedford,Male,2019 - 21,20.7658486681826,45.0,Similar,Worse
East of England region,Central Bedfordshire,Male,2019 - 21,11.5617263319726,41.0,Better,Similar
North East region,Northumberland,Male,2019 - 21,19.2963792191934,78.0,Similar,Similar
South West region,"Bournemouth, Christchurch and Poole",Male,2019 - 21,18.9906792693711,99.0,Similar,Similar
South West region,Dorset,Male,2019 - 21,19.3296737408457,89.0,Similar,Similar
South East region,Buckinghamshire UA,Male,2019 - 21,15.9749060993618,111.0,Similar,Similar
East Midlands region,North Northamptonshire,Male,2019 - 21,17.0711330600009,73.0,Similar,Similar
East Midlands region,West Northamptonshire,Male,2019 - 21,15.1869226370553,79.0,Similar,Similar
North West region,Bolton,Male,2019 - 21,16.011346732633,58.0,Similar,Similar
North West region,Bury,Male,2019 - 21,19.6066305774277,47.0,Similar,Similar
North West region,Manchester,Male,2019 - 21,16.3736958580762,115.0,Similar,Similar
North West region,Oldham,Male,2019 - 21,10.4310836440022,31.0,Better,Better
North West region,Rochdale,Male,2019 - 21,17.8053080339235,50.0,Similar,Similar
North West region,Salford,Male,2019 - 21,16.7701915473256,57.0,Similar,Similar
North West region,Stockport,Male,2019 - 21,13.1562242149928,49.0,Similar,Better
North West region,Tameside,Male,2019 - 21,11.7639697255381,34.0,Similar,Better
North West region,Trafford,Male,2019 - 21,13.2235870891958,39.0,Similar,Similar
North West region,Wigan,Male,2019 - 21,18.3173819786263,78.0,Similar,Similar
North West region,Knowsley,Male,2019 - 21,16.4743934455299,30.0,Similar,Similar
North West region,Liverpool,Male,2019 - 21,16.9587802530051,107.0,Similar,Similar
North West region,St. Helens,Male,2019 - 21,24.0189004525468,55.0,Worse,Worse
North West region,Sefton,Male,2019 - 21,15.9720323507054,54.0,Similar,Similar
North West region,Wirral,Male,2019 - 21,18.9217901649798,75.0,Similar,Similar
Yorkshire and the Humber region,Barnsley,Male,2019 - 21,23.9324016355479,76.0,Worse,Worse
Yorkshire and the Humber region,Doncaster,Male,2019 - 21,21.3536999780955,87.0,Worse,Similar
Yorkshire and the Humber region,Rotherham,Male,2019 - 21,18.1986167231683,60.0,Similar,Similar
Yorkshire and the Humber region,Sheffield,Male,2019 - 21,17.1451991945961,127.0,Similar,Similar
North East region,Newcastle upon Tyne,Male,2019 - 21,17.2260593273768,65.0,Similar,Similar
North East region,North Tyneside,Male,2019 - 21,17.1151059193498,45.0,Similar,Similar
North East region,South Tyneside,Male,2019 - 21,15.1915612523006,30.0,Similar,Similar
