Parent Name,Area Name,Sex,Time period,Value,Count,Compared to England value or percentiles,Compared to Region value or percentiles
North East region,Hartlepool,Male,2017 - 19,19.5452331641516,24.0,Similar,Similar
North East region,Middlesbrough,Male,2017 - 19,24.0556605730339,40.0,Worse,Similar
North East region,Redcar and Cleveland,Male,2017 - 19,21.391856719266,36.0,Similar,Similar
North East region,Stockton-on-Tees,Male,2017 - 19,14.6501083151601,37.0,Similar,Similar
North East region,Darlington,Male,2017 - 19,22.1381582668824,30.0,Similar,Similar
North West region,Halton,Male,2017 - 19,19.3244991804895,31.0,Similar,Similar
North West region,Warrington,Male,2017 - 19,15.855088843811,45.0,Similar,Similar
North West region,Blackburn with Darwen,Male,2017 - 19,10.7377202796796,21.0,Similar,Better
North West region,Blackpool,Male,2017 - 19,25.638761864884,46.0,Worse,Worse
Yorkshire and the Humber region,Kingston upon Hull,Male,2017 - 19,22.2996362965789,72.0,Worse,Similar
Yorkshire and the Humber region,East Riding of Yorkshire,Male,2017 - 19,20.598417092461,89.0,Worse,Similar
Yorkshire and the Humber region,North East Lincolnshire,Male,2017 - 19,18.4425909730409,37.0,Similar,Similar
Yorkshire and the Humber region,North Lincolnshire,Male,2017 - 19,16.6059557645227,37.0,Similar,Similar
Yorkshire and the Humber region,York,Male,2017 - 19,18.1862507763771,46.0,Similar,Similar
East Midlands region,Derby,Male,2017 - 19,12.823279186766,41.0,Similar,Similar
East Midlands region,Leicester,Male,2017 - 19,13.1744787051505,57.0,Similar,Similar
East Midlands region,Rutland,Male,2017 - 19,,6.0,Not compared,Not compared
East Midlands region,Nottingham,Male,2017 - 19,19.5667444668665,77.0,Similar,Worse
West Midlands region,Herefordshire,Male,2017 - 19,17.514232523251,44.0,Similar,Similar
West Midlands region,Telford and Wrekin,Male,2017 - 19,15.8318680718944,36.0,Similar,Similar
West Midlands region,Stoke-on-Trent,Male,2017 - 19,20.6034635095168,66.0,Worse,Worse
South West region,Bath and North East Somerset,Male,2017 - 19,17.7494380879512,42.0,Similar,Similar
South West region,Bristol,Male,2017 - 19,18.1240969028344,106.0,Similar,Similar
South West region,North Somerset,Male,2017 - 19,16.5139126986898,45.0,Similar,Similar
South West region,South Gloucestershire,Male,2017 - 19,14.9741673591326,54.0,Similar,Similar
South West region,Plymouth,Male,2017 - 19,17.8513934647967,63.0,Similar,Similar
South West region,Torbay,Male,2017 - 19,27.2608342029198,45.0,Worse,Worse
South West region,Swindon,Male,2017 - 19,11.1766658455985,33.0,Similar,Better
East of England region,Peterborough,Male,2017 - 19,18.6347398164343,47.0,Similar,Similar
East of England region,Luton,Male,2017 - 19,10.913461384891,27.0,Similar,Similar
East of England region,Southend-on-Sea,Male,2017 - 19,20.7774579987186,48.0,Similar,Similar
East of England region,Thurrock,Male,2017 - 19,7.81644986989383,18.0,Better,Better
South East region,Medway,Male,2017 - 19,14.6258806253676,49.0,Similar,Similar
South East region,Bracknell Forest,Male,2017 - 19,16.5630748841015,24.0,Similar,Similar
South East region,West Berkshire,Male,2017 - 19,15.8259483165233,32.0,Similar,Similar
South East region,Reading,Male,2017 - 19,13.832679261559,28.0,Similar,Similar
South East region,Slough,Male,2017 - 19,16.0155167747261,28.0,Similar,Similar
South East region,Windsor and Maidenhead,Male,2017 - 19,11.1081983263819,22.0,Similar,Similar
South East region,Wokingham,Male,2017 - 19,11.0650867012113,23.0,Similar,Similar
South East region,Milton Keynes,Male,2017 - 19,15.0677595260177,52.0,Similar,Similar
South East region,Brighton and Hove,Male,2017 - 19,20.87797098489,79.0,Worse,Worse
South East region,Portsmouth,Male,2017 - 19,17.9321673490678,46.0,Similar,Similar
South East region,Southampton,Male,2017 - 19,16.3335459925656,55.0,Similar,Similar
South East region,Isle of Wight,Male,2017 - 19,16.8513140111975,30.0,Similar,Similar
North East region,County Durham,Male,2017 - 19,20.5970064934726,138.0,Worse,Similar
North West region,Cheshire East,Male,2017 - 19,16.970399975522,81.0,Similar,Similar
North West region,Cheshire West and Chester,Male,2017 - 19,12.920078390022,56.0,Similar,Similar
West Midlands region,Shropshire,Male,2017 - 19,14.4231743245209,59.0,Similar,Similar
South West region,Cornwall,Male,2017 - 19,20.1199770367263,142.0,Worse,Similar
South West region,Isles of Scilly,Male,2017 - 19,,,Not compared,Not compared
South West region,Wiltshire,Male,2017 - 19,13.3677482947239,85.0,Similar,Better
East of England region,Bedford,Male,2017 - 19,18.4157877893961,40.0,Similar,Similar
East of England region,Central Bedfordshire,Male,2017 - 19,12.5921515427199,46.0,Similar,Similar
North East region,Northumberland,Male,2017 - 19,22.1726164460612,85.0,Worse,Similar
South West region,"Bournemouth, Christchurch and Poole",Male,2017 - 19,18.2547853305892,96.0,Similar,Similar
South West region,Dorset,Male,2017 - 19,20.1089741191551,95.0,Worse,Similar
South East region,Buckinghamshire UA,Male,2017 - 19,12.5618077553418,86.0,Similar,Similar
North West region,Bolton,Male,2017 - 19,18.0811612371506,65.0,Similar,Similar
North West region,Bury,Male,2017 - 19,14.3485937938962,34.0,Similar,Similar
North West region,Manchester,Male,2017 - 19,13.842241135593,91.0,Similar,Similar
North West region,Oldham,Male,2017 - 19,12.4888465031373,36.0,Similar,Similar
North West region,Rochdale,Male,2017 - 19,15.7212761495028,41.0,Similar,Similar
North West region,Salford,Male,2017 - 19,18.9257100881944,63.0,Similar,Similar
North West region,Stockport,Male,2017 - 19,13.7497854143779,51.0,Similar,Similar
North West region,Tameside,Male,2017 - 19,15.3947116678071,44.0,Similar,Similar
North West region,Trafford,Male,2017 - 19,12.6180313404095,37.0,Similar,Similar
North West region,Wigan,Male,2017 - 19,19.73402583275,84.0,Worse,Similar
North West region,Knowsley,Male,2017 - 19,18.2614910470226,33.0,Similar,Similar
North West region,Liverpool,Male,2017 - 19,15.4493468254461,99.0,Similar,Similar
North West region,St. Helens,Male,2017 - 19,24.1494503368286,53.0,Worse,Worse
North West region,Sefton,Male,2017 - 19,16.448386534783,56.0,Similar,Similar
North West region,Wirral,Male,2017 - 19,14.8234591852407,59.0,Similar,Similar
Yorkshire and the Humber region,Barnsley,Male,2017 - 19,17.3831232606338,56.0,Similar,Similar
Yorkshire and the Humber region,Doncaster,Male,2017 - 19,20.4873249927389,82.0,Worse,Similar
Yorkshire and the Humber region,Rotherham,Male,2017 - 19,22.3091763434405,71.0,Worse,Similar
Yorkshire and the Humber region,Sheffield,Male,2017 - 19,15.1729047156846,111.0,Similar,Better
North East region,Newcastle upon Tyne,Male,2017 - 19,17.0895601672561,65.0,Similar,Similar
North East region,North Tyneside,Male,2017 - 19,19.6311227682855,52.0,Similar,Similar
North East region,South Tyneside,Male,2017 - 19,16.6156822538873,31.0,Similar,Similar
North East region,Sunderland,Male,2017 - 19,21.3249191534794,76.0,Worse,Similar
